career,required_subjects,interests,strengths,education_path,budget,description,skills_to_learn,free_resources,resource_types,certificate_note
AI and Data Science,"mathematics;computer science","artificial intelligence;programming;technology;data","logical thinking;problem solving;mathematics","B.Tech AI and Data Science","Free;Low Budget;Flexible","Use mathematics, programming and data to build intelligent systems","Python;Statistics;SQL;Machine Learning","Python documentation;Khan Academy;freeCodeCamp","Programming;Statistics;SQL;Machine Learning","Certificate availability depends on the resource provider"
Computer Science Engineering,"mathematics;computer science","programming;technology;software;computers","logical thinking;problem solving;creativity","B.Tech Computer Science Engineering","Free;Low Budget;Flexible","Build software, applications and technology solutions","Python;C;C++;Data Structures;Algorithms;DBMS","freeCodeCamp;Python documentation;NPTEL","Programming;DSA;Databases","Certificate availability depends on the resource provider"
Cybersecurity,"mathematics;computer science","cybersecurity;technology;networking;computers","logical thinking;problem solving;curiosity","B.Tech Cybersecurity or CSE","Free;Low Budget;Flexible","Protect computers, networks and digital information","Networking;Linux;Cybersecurity;Python","Cisco Networking Academy;Linux documentation;freeCodeCamp","Networking;Linux;Cybersecurity;Programming","Certificate availability depends on the resource provider"
Data Analytics,"mathematics;computer science","data analysis;business;technology","mathematics;logical thinking;problem solving","B.Sc Data Science or B.Tech Data Science","Free;Low Budget;Flexible","Analyze data and convert information into useful decisions","Excel;SQL;Statistics;Python;Power BI","Khan Academy;Python documentation;Microsoft Learn","Statistics;SQL;Python;Data Visualization","Certificate availability depends on the resource provider"
Web Development,"computer science","web development;programming;technology;design","creativity;problem solving;logical thinking","B.Tech CSE or BCA","Free;Low Budget;Flexible","Create websites and web applications","HTML;CSS;JavaScript;Git","freeCodeCamp;MDN Web Docs","HTML;CSS;JavaScript;Web Development","Certificate availability depends on the resource provider"
Software Development,"mathematics;computer science","programming;software;technology","logical thinking;problem solving;creativity","B.Tech CSE or BCA","Free;Low Budget;Flexible","Design and develop software applications","Programming;Data Structures;Algorithms;Git;Databases","freeCodeCamp;Python documentation;NPTEL","Programming;DSA;Databases","Certificate availability depends on the resource provider"
Medicine,"biology;chemistry;physics","medicine;healthcare;biology","empathy;problem solving;patience","MBBS","Flexible","Diagnose and treat patients and work in healthcare","Biology;Chemistry;Human Anatomy;Medical Fundamentals","Khan Academy;Open educational resources","Biology;Chemistry;Health Science","Formal medical practice requires recognized qualifications"
Biotechnology,"biology;chemistry","biology;research;healthcare","research;problem solving;curiosity","B.Tech Biotechnology or B.Sc Biotechnology","Free;Low Budget;Flexible","Apply biology and technology to healthcare and research","Biology;Chemistry;Genetics;Biotechnology","Khan Academy;NPTEL;Open educational resources","Biology;Chemistry;Research","Certificate availability depends on the resource provider"
Commerce and Finance,"accountancy;economics;mathematics","business;finance;accounting","mathematics;communication;analytical thinking","B.Com or BBA","Free;Low Budget;Flexible","Work with business, finance and financial analysis","Accounting;Excel;Finance;Economics","Khan Academy;Microsoft Learn;Open educational resources","Accounting;Finance;Excel","Certificate availability depends on the resource provider"
Business Management,"economics;accountancy","business;entrepreneurship;management","leadership;communication;creativity","BBA or B.Com","Free;Low Budget;Flexible","Manage organizations, teams and business activities","Business;Marketing;Communication;Excel","Khan Academy;Microsoft Learn;Open educational resources","Business;Marketing;Management","Certificate availability depends on the resource provider"
UI UX Design,"computer science","design;technology;ui;ux;creativity","creativity;problem solving;communication","B.Des or related degree","Free;Low Budget;Flexible","Design useful and user-friendly digital products","Design Fundamentals;UI;UX;Prototyping","Figma Learn;freeCodeCamp;Open educational resources","UI;UX;Design;Prototyping","Certificate availability depends on the resource provider"
Electronics and Embedded Systems,"physics;mathematics;computer science","electronics;robotics;technology;hardware","problem solving;mathematics;logical thinking","B.Tech ECE or EEE","Free;Low Budget;Flexible","Build electronic, embedded and robotic systems","Electronics;C;Arduino;Embedded Systems","Arduino documentation;NPTEL;Open educational resources","Electronics;Programming;Embedded Systems","Certificate availability depends on the resource provider"
